id,subject,body,t1_final,t2_final
37455,RE: Re: RE: RE: Re: Re: Regarding Case 5112294567 SR# 1-86184578761,"I would like to remind you that we received a damaged kit and eBay didn't help us at all here. I would really appreciate if you remove the defect from our account. We are loosing business right now, because of the fraudulent eBay customer that put a scam on us and now we loosing business because of that defect. How it's fair, we have pictures from the manufacturer showing that the kit arrived damaged, the customer was also reported to eBay and ic3.gov, and now we can't sell more than 1000 items on eBay because of that? We already explained the situation before. The refund was not issued on time because the kit arrived damaged and we were waiting for a response from eBay, but instead eBay issued full refund automatically during labor day weekend when all businesses were closed.

Regards,
Alex

www.tuner-store.com

On Oct 6, 2016 5:09 PM, merchantsupport_na@ebay.com wrote:

RE: Re: RE: RE: Re: Re: Regarding Case 5112294567 SR# 1-86184578761

Hello Efim,

Thank you for reaching back out to Merchant Support regarding the transaction that was made with the buyer, usmanmanzoor, and the defect related. I want to apologize for any miscommunication, but in the last email you received from us regarding this matter, it looks as though Dan confirmed for you that the feedback was not removable and that feedback itself does not count as a defect. The defect you are seeing on you",M2M Escalation,Buyer Protect High ASP Claim
37456,,"Sent:	2016-10-07 08:35:38.0

Subject:	Return for item 162169355549 SR# 1-88324065281

Enter your response here:	Dear Customer Service,This is not fair to me as a buyer.  There is no protection to a loyal eBayer like me.I want to attach my effort and letters from post offices.  Please let me know how I can attach them or where I can reply with attachment!I will definitely appeal the case.RegardsEd  Previous Message Follows-------------------------   .header{background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Reg;font-size:14px;font-weight:normal;font-style:normal;line-height: 1.2;}#email p{margin: 14px 0;}#email a{color:#0563C1;}.subject{ font-size: 18px; margin: 16px 0 30px 0;}.thanks{margin: 36px 0 90px 0 !important;}.footer{background-color:#FFFFFF;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}.info{color:#767676;font-size:12px;font-family:font-family:Helvetica Neue,Helvetica, Arial; Light; }Return for item 162169355549 SR# 1-88324065281 Dear xxxed, I am contacting you regarding case 5114661374Item &quot;18k Solid Gold Vintage WW2 Pilots Chronograph Landeron 48 Military Black Dial&quot; I have checked the time lines of the return tracking information and can see that there has been no update since 5/09/16 I have contacted Royal Mail who have also confirmed that there has been no update. As this is the case, I",M2M Escalation,Buyer Protect High ASP Claim
37457,Re: VeRO Program -- eBay Listing Removed,"Thank you. Please can you forward me the trader's personal details? The
reason code to support our report is noted below.

Zoe Le Jeune





________________________________
From: vero@ebay.co.uk <vero@ebay.co.uk>
Sent: 04 October 2016 13:45
To: admin1
Subject: VeRO Program -- eBay Listing Removed

Thank you for contacting us.

We are pleased to inform you that the following listing(s) you reported have been removed from eBay in response to the Notice of Claimed Infringement you recently sent:

ysh2012 - 5.2
361687878515

We have notified the seller and all participating bidders that the listing(s) has been removed due to your request.

If the Notice of Claimed Infringement contained items that are not listed above you will receive a separate email communication about those items. These notices may arrive at different times (over a period of up to several hours) as items for different sellers are processed separately.

If you should have any questions or concerns regarding this matter, please do not hesitate to contact us again.

VeRO Program
eBay Trust & Safety

",e2M Listing,VeRO - CCR
37458,What are the basic eBay fees,"Sent:	2016-10-06 02:58:21.0

Subject:	What are the basic eBay fees

Enter your question/concern:	SR# 1-86135558129‏Hi,Do you have the paypal transaction ID for this refund? i've checked paypal and can't find it.regardsSebastian Charles.Date: Fri, 23 Sep 2016 03:51:22 -0700From: customerhelp_uk@ebay.comTo: cambridgehomestore@outlook.comSubject: RE: RE: What are the basic eBay fees SR# 1-86135558129eBayRE: RE: What are the basic eBay fees SR# 1-86135558129Dear Seb0835, Many thanks for your reply. We do not as yet have a transaction ID, But once you log into your PayPal account  you will see the refund from eBay. Please keep in mind that even though this was submitted yesterday it can still take up to 5-7 business days before you may see these funds back in your account.  We trust you will find this in order. We appreciate that this transaction may have fallen short of your expectations in relation to GSP and we do hope to welcome you back. Thank you for using the Global Shipping Programme.   We hope this has been of assistance but if you do have any further queries or questions please let in touch.  We are here and happy to help. We thank you for all of your eBay business and hope that this information has been helpful . Kind RegardseBay Global Shipping Team

Send a copy to my email address.:	on",Specialty,Logistics - CCR
37459,,NULL,Specialty,Logistics - CCR
37460,Re: Important Case (5114823482) Update from eBay Customer Support SR# 1-87408081763,"I haven't heard from the seller as of Oct. 6, 2016.

Please advise.

Thank you.

Randall

 

 

 

-----Original Message-----
From: highvalueclaimsinfo <highvalueclaimsinfo@ebay.com>
To: randallcarmel <randallcarmel@aol.com>
Sent: Sat, Oct 1, 2016 1:08 am
Subject: Important Case (5114823482) Update from eBay Customer Support SR# 1-87408081763



	
	Important Case (5114823482) Update from eBay Customer Support SR# 1-87408081763


	
Hello Randall,
 
We are following up with you today in regards to the International Sterling gold plated silverwear set (eBay item: 322253764023) that you purchased.  I understand you opened the case stating the pieces are not sterling. We understand the frustration you’ve experienced during this transaction and apologize for the inconvenience this has caused. We want to work with you to ensure that this issue is resolved in a timely manner.
 
I have placed the case on hold for 5 days, until 10/5/2016, and advised the seller to issue a label for the return shipment or to cover your return shipping costs. We would ask that you work with your seller to reach a resolution for the return of the item.
 
In the situation where your seller sends the funds to you for return shipping, you will need to make sure the item is returned with signature confirmation. If the funds are sent to you from your seller, please reach out to u",M2M Escalation,Buyer Protect High ASP Claim
37461,"Bosch, Braun, Philips, Babyliss offer  2016-10-05","Dear Partners,
please use the below button to check our inventory.

click to download offer
Please send your orders to sales@perfumesco.pl�?


    
  

  
     

      PERFUMESCO Wholesale Departmentmon - fri 9 AM till 5 PMphone: 22 101 29 16mail: sales@perfumesco.pl
      Warehouse address:GATE ONE - PERFUMESCODziałkowa 62 module F02-234 Warsaw

    
  

  �?

",e2M Listing,VeRO - CCR
37462,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US 100881T ?0",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37463,,NULL,Specialty,Logistics - CCR
37464,Bazaar Assets LLP:  VERO Notice of Infringement,"


**************************************
Notice of Claimed Infringement - Statutory Declaration

eBay International A.G.

Attn: VeRO Programme

Fax: +44 (0)20 7153 0985

Date: 5 October 2016

Dear eBay,

I, Allison Duff of Bazaar Assets LLP do solemnly and sincerely declare as follows:

�?I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (“IP Owner�?;

�?I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner’s rights according to English law; and

�?I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:_Bazaar Assets LLP

Address of the rights owner: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

_________________________________________________________________________

I may be contacted at:

Name and Title of the author of the Notice: Miss Allison Duff

Company of the author of the Notice: Bazaar Assetts LLP

Address: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

email address (for communication with eBay): sales@beanbagstoreuk.com<mailto:sales@beanbagstoreuk.com>

email address (for communication with sellers)*: _sales@beanbagstoreuk.co",e2M Listing,VeRO - CCR
37465,Policy General,"Hello,

 

Thank you for your email.

 

We updated out address about a month ago as we moved house and missed getting this item.

 

Please redeliver to our address as listed on ebay which is

 

Tom Norris
Corran
Waterfall
Cork
T12 EEF9
Rep of Ireland

 

Kind regards

 

Tom Norris | Price Devils

UK Business Development Director

 

 <http://www.pricedevils.com/> www.pricedevils.com

 

 <http://www.pricedevils.com/> 


This email and any files transmitted with it are confidential and intended solely for the use of the individual or entity to which they are addressed. They may contain legally privileged information, and may not be disclosed to anyone else. If you have received this e-mail in error please notify  <mailto:legal@pricedevils.com> legal@pricedevils.com and delete all copies from your system.

Price Devils Limited. Registered in England & Wales (Registered No.9961818). 

Registered Office: Accountax House, 420 Streatham High Road, London SW16 3SN, United Kingdom.

 

From: customerhelp@ebay.co.uk [mailto:customerhelp@ebay.co.uk] 
Sent: Thursday, October 6, 2016 1:07 AM
To: tom.norris@qfjmedia.com
Subject: eBay item undeliverable to your address - SR# 1-88173825660

 

  <http://p.eBaystatic.com/aw/pics/logos/logoEBay_x45.gif> 

eBay item undeliverable to your address - SR# 1-88173825660



Hello f1gra",Specialty,Logistics - CCR
37466,Who calculates the shipping and import charges for the Global Shipping Program?,"Thank you for your email!  Most of you know Steve is computer illiterate and I, Jaynelle, have been over my head dealing with our son, Brandon's recent medical issues.  We thank you for all your prayers, well wishes, and donations.  My apologies that we will not be able to respond to your email in a timely manner.  I go through emails and reply as quickly as possible.  Apologies in advance.

-- 

www.SteveRude.com

NEW NEXUS! www.RudeDudeProductions.com

",Specialty,Logistics - CCR
37467,,"Sent:	2016-10-06 12:14:27.0

Subject:	Important Case (5113344004) Update: Your Action Required SR# 1-88185618691

Enter your response here:	Hello, just sent out the transmission last week will upload the tracking number asap   Previous Message Follows-------------------------   .header{background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Reg;font-size:14px;font-weight:normal;font-style:normal;line-height: 1.2;}#email p{margin: 14px 0;}#email a{color:#0563C1;}.subject{ font-size: 18px; margin: 16px 0 30px 0;}.thanks{margin: 36px 0 90px 0 !important;}.footer{background-color:#FFFFFF;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}.info{color:#767676;font-size:12px;font-family:font-family:Helvetica Neue,Helvetica, Arial; Light; }Important Case (5113344004) Update: Your Action Required SR# 1-88185618691Hello Daniel, We are following up with you today in regards to the 206 Subaru Impreza Transmission (eBay item: 282109887185) that you recently purchased. I understand that you opened a case because the wrong transmission was received.  We understand the frustration you&rsquo;ve experienced during this transaction and apologize for the inconvenience this has caused. We want to work with you to ensure that this issue is resolved in a timely manner. After reviewing the details of the case I can see that your seller has prov",M2M Escalation,Buyer Protect High ASP Claim
37468,Policy General,"Bonjour,

L'adresse de livraison est correcte.

Le numéro de téléphone indiqué est correct; c'est un numéro belge donc 
au niveau international il doit être précédé de 0032.

Il est possible que le colis ait été présenté alors que le bâtiment 
était fermé, mais nous n'avons pas trouvé d'avis de passage.

Cette adresse est accessible du lundi au vendredi de 10H au plus tard, 
jusqu'à 18H au plus tôt.

En cas d'absence - cela peut arriver- laisser un avis de passage,

Merci d'avance,


Le 6/10/2016 à 02:05, customerhelp@ebay.co.uk a écrit :
> eBay
> Objet eBay non remis à votre adresse de livraison - SR# 1-88173795370
>
>
> Bonjour walex1954,
>
> Nous éprouvons quelques difficultés à livrer l'objet 121461691648 que 
> vous avez acheté sur eBay auprès de candyclub68 (ORA : A1559943579BE). 
> Cela est généralement dû à une adresse ou un numéro de téléphone 
> incomplets ou non reconnus.
>
> Veuillez vérifier l'adresse de livraison et le numéro de téléphone 
> fourni. Nous avons essayé de livrer l'objet à l'adresse suivante : c/o 
> Le Cercle Num??rique,Faubourg de Bruxelles, 5,Gosselies,,6041,Belgium. 
>  Le numéro de téléphone est le 0475666115.
>
> Si ces informations ne sont pas correctes, veuillez les modifier ici :
> http://payments.ebay.fr/ws/eBayISAPI.dll?UserAddresses&cmd=standalone
>
> Remarque : nous ne pouvons pas envoyer l'objet à u",Specialty,Logistics - CCR
37469,Item(s) is a counterfeit product which infringes the trademark owner's rights [Case #429342],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: J. Barbour & Sons Ltd
Name and Title of the author of the Notice: Brenda Readman-Bell
Company of the author of the Notice: J. Barbour & Sons Ltd
Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD
Email address (for communication with eBay): barbour@enforcements.markmonitor.com
email address (for communication with sellers)*: brandprotection@mm-barbour.com
Telephone: 0044.208.6851875
Fax: 0044.208.6851875

* please fill in, if you wish to have a different address.

In addition to the undersigned, the following",e2M Listing,VeRO - CCR
37470,Bazaar Assets LLP:  VERO Notice of Infringement,"

**************************************
Notice of Claimed Infringement - Statutory Declaration

eBay International A.G.

Attn: VeRO Programme

Fax: +44 (0)20 7153 0985

Date: 5 October 2016

Dear eBay,

I, Allison Duff of Bazaar Assets LLP do solemnly and sincerely declare as follows:

�?I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (“IP Owner�?;

�?I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner’s rights according to English law; and

�?I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:_Bazaar Assets LLP

Address of the rights owner: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

_________________________________________________________________________

I may be contacted at:

Name and Title of the author of the Notice: Miss Allison Duff

Company of the author of the Notice: Bazaar Assetts LLP

Address: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

email address (for communication with eBay): sales@beanbagstoreuk.com<mailto:sales@beanbagstoreuk.com>

email address (for communication with sellers)*: _sales@beanbagstoreuk.com<",e2M Listing,VeRO - CCR
37471,,"Thanks for the info.The item has been received 26.Sep succesfully :)Best regardsThomasOd: customerhelp_uk@ebay.comDo: tomaszlew@poczta.fm; Wysłane: 11:17 Środa 2016-10-05Temat: Your Action Required Regarding eBay Item #: 112070786831,  SR# 1-88092690653		Your Action Required Regarding eBay Item #: 112070786831,  SR# 1-88092690653Hello thrakis (tomaszlew@poczta.fm),&nbsp;Our Third Party Shipper has recently contacted us in regards to eBay Item #:112070786831&nbsp;that you purchased. &nbsp;They have asked&nbsp;us to contact you to advise you that the item is currently been held at your collection point.&nbsp;Please also be aware that the item has been at this location for over 7 days.&nbsp;Please click on the below link which shows where your item is including opening times for your convenience.&nbsp;http://www.postnord.no/minside/SOPS/8042134091&nbsp;&nbsp;We are sure you are anxious to receive your item and would encourage you to collect&nbsp; this without further delay.&nbsp;We thank you for all of your eBay business and hope that these steps have been helpful.&nbsp; We truly value you as an important part of the eBay community and wish you the best with your future eBay transactions.&nbsp;Sincerely,eBay Logistics Support[THREAD ID: 1-88092690653]eBay Document ID: 37574718004			eBay is committed to your privacy. Read our user agreement and privacy notice. Learn how to recognis",Specialty,Logistics - CCR
37472,,NULL,Specialty,Logistics - CCR
37473,Re: Important Case (5113987729) Update from eBay Customer Support SR# 1-87238...,"Dear Bear p, 
 
Any news on this case?
 
 
In a message dated 9/30/2016 6:24:08 P.M. Central Daylight Time,  
highvalueclaimsinfo@ebay.com writes:


Important Case (5113987729) Update from eBay Customer  Support SR# 
1-87238660423


Hello  Andrew , 
We  are following up with you today in regards to the Sony Cybershot (eBay 
item:  201650675595) that you recently purchased.  After reviewing your 
claim, I  understand that the item has been returned back to your seller and we 
are  awaiting a refund to be issued.I can definitely see that this has been 
a  troublesome and time consuming transaction. We are happy to help as we go 
 through this case together. 
We  have placed your case on hold for 3 days, until end of day on 
10/3/2016, and  reached out to your seller to ask that they issue you a refund for 
this  transaction.  Once the refund has been issued, we recommend you close 
the  case in the Resolution Center.  
After  the hold timeframe has passed, we will review the case again, and 
take the  appropriate steps after review.  
We  appreciate your time and cooperation in this matter. 
Thank  you, 
Bear  p 
eBay  Customer Service 





From:  <>
Sent: 9/26/2016 11:49:49 PM
To: 
CC:  
Subject: GS=CU0778 | Re-Escalating case to CS, I received an item  that is 
not as described [#US $US 100770T
GS=CU0778 |  Re-Escalating case to CS, I r",M2M Escalation,Buyer Protect High ASP Claim
37474,Loi sur la Transition Energétique : Recevez 10 ampoules LED subventionnées,"Si ce message ne s'affiche pas correctement, merci de suivre ce lien

 

10 AMPOULES LED GRATUITES

Grâce à la Loi Transition énergétique

J'EN PROFITE

4 modèles d’ampoules LED disponibles

 

 
 

VÉRIFIEZ que vous pouvez bénéficier de l’offre.
Munissez-vous de votre avis d’imposition et profitez de votre kit subventionné de 80 à 100% !

 
 

COMPOSEZ votre kit de 10 ampoules.
Les 4 types de culots proposés (E27, B22, E14 et GU10) permettent de répondre à l’ensemble des besoins d’éclairage de l’habitat

 
 

RECEVEZ votre kit gratuitement chez vous
ou en relais colis

 
 

INSTALLEZ vos LED sans attendre.
Elles consommeront bien moins que vos ampoules à incandescence !

 
 

 

J'EN PROFITE

 

Ces ampoules sont subventionnées par GEO Finance dans le cadre du dispositif des Certificats d'Economies d'Energie.
La subvention couvre 100% du coût du kit sous condition de ressources, définies par le Ministère. Ce site respecte la loi Informatique et Liberté du 6 janvier 1978, et a fait l'objet d'une déclaration à la CNIL sous le n° 1937976.
Les informations recueillies à partir de ce site font l'objet d'un traitement informatique pour le calcul de votre subvention et le traitement de votre commande. Les destinataires des données sont les services de GEO Finance et le ministère de l'énergie. Conformément à la loi « informatique et lib",e2M Listing,VeRO - CCR
37475,,NULL,Specialty,Logistics - CCR
37476,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US ?01 ]",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37477,"Tenha 800MB de Internet com o Claro Controle por R$34,99!"," 

 		Se você não está visualizando as imagens, acesse a versão
online aqui [http://sis.listandotudo.com.br/w.php?38457,6,2004,89].

 		
[http://sis.listandotudo.com.br/c.php?38457,6,2004,89/https://planosclarocontrole.com.br/?utm_source=leadz&utm_medium=email_cpa&utm_campaign=vip_target&cid=1952&pid=1032]

 		
[http://sis.listandotudo.com.br/c.php?38457,6,2004,89/https://planosclarocontrole.com.br/?utm_source=leadz&utm_medium=email_cpa&utm_campaign=vip_target&cid=1952&pid=1032]

 		
[http://sis.listandotudo.com.br/c.php?38457,6,2004,89/https://planosclarocontrole.com.br/?utm_source=leadz&utm_medium=email_cpa&utm_campaign=vip_target&cid=1952&pid=1032]

 [http://sis.listandotudo.com.br/c.php?38457,6,2004,89/https://planosclarocontrole.com.br/?utm_source=leadz&utm_medium=email_cpa&utm_campaign=vip_target&cid=1952&pid=1032]


Os planos e preços exibidos são para os estados do Rio de Janeiro,
no DDD 21.
[http://sis.listandotudo.com.br/c.php?38457,6,2004,89/https://planosclarocontrole.com.br/?utm_source=leadz&utm_medium=email_cpa&utm_campaign=vip_target&cid=1952&pid=1032]


VEJA AS VANTAGENS E APROVEITE!
[HTTP://SIS.LISTANDOTUDO.COM.BR/C.PHP?38457,6,2004,89/HTTPS://PLANOSCLAROCONTROLE.COM.BR/?UTM_SOURCE=LEADZ&UTM_MEDIUM=EMAIL_CPA&UTM_CAMPAIGN=VIP_TARGET&CID=1952&PID=1032]

 		
[http://sis.listandotudo.com.br/c.php?38457,6,2004,89/https://planosclarocontrole.com.br/?utm_source=leadz&",e2M Listing,VeRO - CCR
37478,Re: Content Removal Request,"It’s been 3 weeks and since we reported the following link to you and the page remains live:

http://www.ebay.ca/itm/Emini-Better-SineWave-Tend-Line-Trin-Volume-Pro-AM-Momentum-Perfect-Portfolio-/282135577994?hash=item41b097458a:g:i9gAAOSw4s9Xkd2X

See below for the original NOCI.

I would appreciate it if you could take action on this asap.

Regards.
___________________________

Alastair Evans
 Founder, Takedown Czar ©

Tel (USA) +1 315 636 5291
 Tel (Hong Kong) +852 8192 9520

> On Sep 14, 2016, at 1:58 PM, info@takedownczar.com wrote:
> 
> Notice of Claimed Infringement
> 
> 
> Intellectual Property Owner Barry Taylor International Pty Ltd
> 
> Name and Title Mr. Alastair Evans  
> 
> Company Trader Guard  
> 
> Address 14 Floor China Hong Kong Tower, 8 Henessy Road  
> 
> City, Town, and Postcode Hong Kong, Wanchai  
> 
> Email Address (for communication with eBay) info@takedownczar.com  
> 
> Email Address (for communication with sellers) info@takedownczar.com   
> 
> Telephone 852 8192 9520  
> 
> Website http://www.traderguard.com  
> 
> 
> Associate each item(s) reported as allegedly infringing with ONLY one of the reason codes listed on the following page.
> 
> 
> Reason code: 3.2
> 
> Work(s) Infringed: Better TRIN
> 
> Region(s) of registration of your intellectual property: Worldwide
> 
> Item number(s): 282135577994",e2M Listing,VeRO - CCR
37479,Policy General,"Hallo and thank you for your Email :) the adress is correct, I have had trouble with this shipment since the seller have not been able to find out who the carrier is so I can contact them. They have not contacted me either so we can arrange a a delivery. Do you know who the carrier in Oslo is? Kind regards

Sendt fra min iPhone

Den 6. okt. 2016 kl. 02.05 skrev ""customerhelp@ebay.co.uk<mailto:customerhelp@ebay.co.uk>"" <customerhelp@ebay.co.uk<mailto:customerhelp@ebay.co.uk>>:

[eBay]
eBay item undeliverable to your address - SR# 1-88173786452


Hello mariebnorway,

We're having trouble delivering your order of eBay item 172072767107 from chic-furniture1 (ORA: A1461409020NO). This is usually caused by an incomplete or unrecognized address or phone number.

Please review the delivery address and phone number. The address we tried to deliver to is fritznersgate 16,,oslo,oslo,0264,Norway.  The phone number is 97620361.

If these details are incorrect, please edit them here:
http://payments.ebay.com/ws/eBayISAPI.dll?UserAddresses&cmd=standalone

Note: We can't ship to an address in a different country than originally listed. Also, we don't ship to PO Boxes or Packstations.

--You don't need to contact us once you've updated the address.--

If the shipping address and phone number are correct, let us know by replying to this email.

We'll hold your item for 7",Specialty,Logistics - CCR
37480,Re: GSORC004 Update to Case # 5114872812 eBay Customer Support SR# 1-87471472618,"On Wed, Sep 28, 2016 at 6:55 PM, <customerhelp@ebay.com> wrote:

> [image: eBay]
> GSORC004 Update to Case # 5114872812 eBay Customer Support SR#
> 1-87471472618
>
>
>
>
> Dear Chantal,
>
>
>
> I’m contacting you about the return request opened for the SHARKHIDE Metal
> Protectant and Aluminum Cleaner Set  (322232805120) purchased by
> �?282skycell�?on August 22, 2016. As the buyer received Samsung Galaxy
> Note7 that is under Battery Safety Recall and Exchange Program, we placed
> the case on hold for 5 days for you to work things out with the buyer.
>
>
>
> We encourage you to contact samsung through their regional contact
> information 0330 7261000. For further information please check
> http://www.samsung.com/uk/note7exchange/
>
>
>
>
>
> Here are some important information for you to know:
>
>
>
>    - Samsung will provide return labels and packaging to sellers and
>    buyers (US) or arrange pick up.
>    - Special packaging is needed due to safety risks when mailing the
>    item. Samsung will provide this special packaging.
>    - Samsung has confirmed cross-border trade (CBT) customers will also
>    be able to exchange and should contact their regional Samsung number for
>    specific details of pick up or return in their area.
>    - Samsung is required to exchange the item regardless of where the
>    consumer purchased it.
",M2M Escalation,Buyer Protect High ASP Claim
37481,,NULL,Specialty,Logistics - CCR
37482,,"1. The item (scooter) arrived with a damaged box frame and with the box torn in multiple areas (hidden damage was unknown at the time).
2. Item (scooter) was damaged, and parts were missing. Seller (crtmoto-depot) was immediately notified approximately 3 weeks ago,

3. Seller (crtmoto-depot) indicated that they would get back to me with a resolution and tracking number for the replacement parts that were sent (about 3 weeks ago)
4. Spoke with Chris (crtmoto-depot) 2 weeks ago who indicated that he would have someone contact us by back right away. Someone called three days later but didn't leave any details or information in the message; they only left a message to call them back. We called them back 3 times, no one answered and calls were not returned.
5. I have yet to receive any tracking information on items that were supposedly sent out two weeks ago. It appears that nothing has been sent out; and it seems that no one is treating this as a priority.
6. The scooter has been sitting unusable in my garage for almost 3 weeks. This has been a horrible experience; and at this point, I just want my money back.
7. I have a requested a Full Refund in the amount of $  from the seller with details on how/when the item will be picked up.
8. This morning, I received a message stating 'sent you asap' with no additional details. I have no idea what was sent. I'm hoping that it was",M2M Escalation,Buyer Protect High ASP Claim
37483,Re: REmportant Case (5111903392) Update: Case Closed  SR# 1-85692457673,"Can someone please update me as to when my paypal account balance will be corrected and brought back to a positive state by the hold on my funds being released? I have done everything as instructed..
I have sent several emails without replies. Please see the email history below.
Thank You,
Greg Hightower


      From: ""hgh1_us@yahoo.com"" <hgh1_us@yahoo.com>
 To: highvalueclaimsinfo@ebay.com 
 Sent: Thursday, September 29, 2016 5:52 AM
 Subject: Re: REmportant Case (5111903392) Update: Case Closed SR# 1-85692457673
   
So being that I paid the $150 on Sunday and now Thursday morning, my balance still has not been corrected back to zero, do I just need to open a new PayPal account ? Or is my original PayPal account ever going to correct itself by releasing the funds on hold and bring my balance back to zero again?
Sent from my iPhone
On Sep 11, 2016, at 2:24 PM, highvalueclaimsinfo@ebay.com wrote:



  REmportant Case (5111903392) Update: Case Closed SR# 1-85692457673

 Hello Greg,

Thank you for reaching out to us concerning the negative balance in relation to the eBay case (5111903392). We want to make sure that we can reach a resolution together on this. 

After reviewing your claim we can see that we issued a partial refund to your customer to close the case. While a partial refund was issued the refund was from us on your behalf, and we have not receiv",M2M Escalation,Buyer Protect High ASP Claim
37484,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US ?01 ]",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37485,Listing(s) uses unauthorized copy of copyrighted image [Case #429358],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: J. Barbour & Sons Ltd
Name and Title of the author of the Notice: Brenda Readman-Bell
Company of the author of the Notice: J. Barbour & Sons Ltd
Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD
Email address (for communication with eBay): barbour@enforcements.markmonitor.com
email address (for communication with sellers)*: brandprotection@mm-barbour.com
Telephone: 0044.208.6851875
Fax: 0044.208.6851875

* please fill in, if you wish to have a different address.

In addition to the undersigned, the following",e2M Listing,VeRO - CCR
37486,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US 100770T ?0",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37487,Item(s) is a counterfeit product which infringes the trademark owner's rights [Case #429341],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: J. Barbour & Sons Ltd
Name and Title of the author of the Notice: Brenda Readman-Bell
Company of the author of the Notice: J. Barbour & Sons Ltd
Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD
Email address (for communication with eBay): barbour@enforcements.markmonitor.com
email address (for communication with sellers)*: brandprotection@mm-barbour.com
Telephone: 0044.208.6851875
Fax: 0044.208.6851875

* please fill in, if you wish to have a different address.

In addition to the undersigned, the following",e2M Listing,VeRO - CCR
